title,subtopic,relevant_content,discussion_date
Talk:Agricultural machinery industry,External links modified,"hello fellow wikipedians,  i have just modified {{plural4|one external link|4 external links}} on . please take a moment to review [ my edit]. if you have any questions, or need the bot to ignore the links, or the page altogether, please visit  for additional information. i made the following changes added {{tlx|dead link}} tag to  added archive  to  added {{tlx|dead link}} tag to  added archive  to  added archive  to  added archive  to   when you have finished reviewing my changes, please set the ''checked'' parameter below to '''true''' or '''failed''' to let others know (documentation at {{tlx|sourcecheck}}).  {{sourcecheck|checkedfalse}}  cheers.—",5/10/2016 18:38
Talk:Arms industry,Propaganda,"feels like a propaganda piece from . is this really all that can be said about a huge and strategically important industry, that some people get killed with ""small arms"", half of them probably in africa? people kill people, you know.",5/06/2004 20:55
Talk:Arms industry,Propaganda, and so do bullets. —the preceding  comment was added by,28/03/2007 16:32
Talk:Arms industry,Article expansion,"i work in security assistance in dealing with foreign military sales (fms), and have attended class at the defense institute for security assistance management (disam), but that doesn't make me an expert yet.  it really is a complex organization with stringent directives, much of which is outlined in the secretary of defense instruction titled (currently) ''joint security assistance training manual'' (jsat), and the soon to be completed jset which will replace the jsat.  let's face it, the world is not a safe place.  there are many reasons that we share our weapons, technology and practices (training) with other countries.  we share this with our allies to ensure that if and when we go into battle with them, we may have a better coordinated fight.  we give things to other countries as a gesture of good will.  another very important part that is commonly overlooked is that when international military students come to the u.s. to train, they get to see the u.s. for what it really is, and can take their (hopefully pleasant) experiences home with them to share with their friends and families.  since it is not uncommon for a  have served in their nations military, there is a chance that they may have attended training in the u.s.  this is in fact the case with king  of .  another thing to be looked at is countries that we may have obligations (under treaties) to defend, such is the case with  and the  (south korea).  if they purchase our technology (and the training to use it), it may partially relieve our responsibilities.  however, this article surely needs to be expanded.  foreign military sales (fms) is extremely important.  there should be separate articles for fms, imet, dcs, disam, international military student officer (imso) (my job), naval education and training security assistance field activity (netsafa), u.s. army security assistance training field activity (satfa), air force security assistance center (afsac), security assistance officer (sao) among others.  i would love to help write these articles, but i'm not an article writer.  i can help with facts, perhaps specific statistics, but i could not do it by myself.--",21/11/2005 4:09
Talk:Arms industry,Article expansion," ""let's face it, the world is not a safe place.""  largely because the american arms industry is behind every war since david copperfield was a kid. —the preceding  comment was added by",28/03/2007 16:33
Talk:Arms industry,Article expansion," i have tried to do research on this topic, and i have added several paragraphs. i am, however, quite new to wikipedia, and therefore apologize for my numerous meaningless edits (i will try to update by doing one big update in the future). if you discover that any of the information is uncertain, or that it is not properly organized, feel free to work over my own edits. i consider this topic to be important, and will therefore do whatever i can to improve this article, more research on this topic will be completed soon. --",21/12/2005 6:46
Talk:Arms industry,Article expansion,"information on arms trade is hard to obtain. not only illegal but also legal military transactions are often taking place in secret. help improve and bring attention to the article. —preceding ] • ) 0657, 21 december 2005   ''information wanted'' need some info on the weapons industry of '''france''', '''britain''' and '''russia'''.—preceding ] • ) 1748, 22 december 2005    please add methods of terrorits groups like lra (lords resistance army)obtaining weapons.  —preceding ]",13/03/2009 23:13
Talk:Arms industry,Contradiction (since removed),"the values in the top arms exporters table seems to be completely wrong.  the total of the top arms exporters for 2006 is $1.2billion, whereas the article also states ""from 1989 to 1996, the global value of direct commercial arms sales was us$257 billion, of which 45% was exported from the us"".  ($257/8 years  $32b/year, so unless the arms trade dropped by a factor of 25 in the next decade, those numbers are incorrect.)  the cited sources also give different values.  i added the contradiction flag at the top of the article, and added a sentence above the table telling people to go to the sources instead.  i don't know what the wiki-appropriate edit should have been, but i assume that this article is sufficiently watched that someone will be aroudn shortly to clean it up.  thank you.    the 'top arms exporters' table is now gone, so i removed the contradiction flag.  i clarified that the table that replaced it excludes china (see the cited references.)  an accurate and complete breakdown of arms traffic (npov, of course) would be a useful addition to this page.",22/04/2007 4:01
Talk:Arms industry,Contradiction (since removed),"""world's largest arms exporters"" seems to be missing countries? for what i know, turkey should be in that list, as according to sectoral information from 2008, its exports exceeded 500 million dollars !?! claricication please.  — preceding ] • )",6/01/2011 15:36
Talk:Arms industry,Invalid criticism of the United States,"a large part of this piece seems to be an attempt to slander the united states and does not objectively look at arms sales worldwide. no mention is made of other major arms exporters in the same light... small arms exports are mentioned, but based on the article one would think that the united states is the primary supplier of small arms, when in fact it is russia (whose ak-47 is the most widely produced assault weapon). i recommend that arms sales specifically related to the united states be moved to a new article titled, ""arms sales of the united states,"" and then that article broken down into sections where criticisms such as the ones that exist in this article can be put into proper context.  let's get it straight and speak only the truth.  what make people hate the states?  here is an example.  tell me what is wrong with this [ harold pinter the nobel prize in literature 2005]  and then there's this ""the united states is by far the largest exporter of weapons in the world, with a sales volume that exceeds the next 14 countries combined. military sales equate to about 18 percent of the federal budget, far and away the greatest proportion of any nation."" this is ridiculous! 18% of the $2.2 trillion federal budget (fy 2006) is $396 billion, yet according to sipri total arms sales worldwide totalled a maximum of $53 billion for 2004, with the united states making up approx. half of that.  ""according to the 2005 annual us congress reports, 58% of all us arms trade contracts are made with developing countries."" this is especially misleading, because nowhere in the article does it cite that russia is the largest exporter of arms to the developing world. (source cdi, ""u.s. arms still dominate international market, russia leader to developing world"" nov 15, 2006)  in summary, it seems that the intention of this article is to slander the united states by misleading the reader by using an extremely selective use of sources and ""facts"" that do not hold up to any kind of scrutiny. i recommend the united states be removed from this article entirely and be given its own entry. —the preceding  comment was added by",19/02/2007 8:46
