title,subtopic,relevant_content
Talk:Agricultural machinery industry,External links modified,"Hello fellow Wikipedians,  I have just modified {{plural:4|one external link|4 external links}} on [[Agricultural machinery industry]]. Please take a moment to review [https://en.wikipedia.org/w/index.php?diff=prev&oldid=742776318 my edit]. If you have any questions, or need the bot to ignore the links, or the page altogether, please visit [[User:Cyberpower678/FaQs#InternetArchiveBot|this simple FaQ]] for additional information. I made the following changes: *Added {{tlx|dead link}} tag to http://www.vdma.org/documents/105903/842491/VDMA%20Market%20Perspectives%202014.pdf/9a9a7bef-4bb5-4d11-891e-934998177005 *Added archive https://web.archive.org/web/20150810063122/http://www.agrievolution.com/ to http://www.agrievolution.com/ *Added {{tlx|dead link}} tag to http://www.vdma.org/documents/105903/842491/VDMA%20Market%20Perspectives%202014.pdf/9a9a7bef-4bb5-4d11-891e-934998177005 *Added archive https://web.archive.org/web/20130318191654/http://agricoop.nic.in/Farm%20Mech.%20PDF/05024-09.pdf to http://agricoop.nic.in/Farm%20Mech.%20PDF/05024-09.pdf *Added archive https://web.archive.org/web/20141205083750/http://blog.tcp.gov.tr/index.php/2011/06/agricultural-machinery-industry-in-turkey-2/ to http://blog.tcp.gov.tr/index.php/2011/06/agricultural-machinery-industry-in-turkey-2/ *Added archive https://web.archive.org/web/20141205044016/http://www.aem.org/MarketInfo/MarketIntel/WhitePapers/EconomicFootprint-AgriculturalEquipmentIndustry/Files/AEM_Economic_Whitepaper.pdf to http://www.aem.org/MarketInfo/MarketIntel/WhitePapers/EconomicFootprint-AgriculturalEquipmentIndustry/Files/AEM_Economic_Whitepaper.pdf  When you have finished reviewing my changes, please set the ''checked'' parameter below to '''true''' or '''failed''' to let others know (documentation at {{tlx|Sourcecheck}}).  {{sourcecheck|checked=false}}  Cheers.—[[User:InternetArchiveBot|'''<span style=""color:darkgrey;font-family:monospace"">InternetArchiveBot</span>''']] <span style=""color:green;font-family:Rockwell"">([[User talk:InternetArchiveBot|Report bug]])</span> 18:38, 5 October 2016 (UTC)"
Talk:Arms industry,Propaganda,"feels like a propaganda piece from [[Disinfopedia]]. Is this really all that can be said about a huge and strategically important industry, that some people get killed with ""small arms"", half of them probably in Africa? People kill people, you know. [[User:Watcher|Watcher]] 20:55, 5 Jun 2004 (UTC) :: And so do bullets. <small>—The preceding [[Wikipedia:Sign your posts on talk pages|unsigned]] comment was added by [[Special:Contributions/201.19.180.233|201.19.180.233]] ([[User talk:201.19.180.233|talk]]) 16:32, 28 March 2007 (UTC).</small><!-- HagermanBot Auto-Unsigned -->"
Talk:Arms industry,Article expansion,"I work in Security Assistance in dealing with Foreign Military Sales (FMS), and have attended class at the Defense Institute for Security Assistance Management (DISAM), but that doesn't make me an expert yet.  It really is a complex organization with stringent directives, much of which is outlined in the Secretary of Defense Instruction titled (currently) ''Joint Security Assistance Training Manual'' (JSAT), and the soon to be completed JSET which will replace the JSAT.  Let's face it, the world is not a safe place.  There are many reasons that we share our weapons, technology and practices (training) with other countries.  We share this with our allies to ensure that if and when we go into battle with them, we may have a better coordinated fight.  We give things to other countries as a gesture of good will.  Another very important part that is commonly overlooked is that when International Military Students come to the U.S. to train, they get to see the U.S. for what it really is, and can take their (hopefully pleasant) experiences home with them to share with their friends and families.  Since it is not uncommon for a [[Head of State]] have served in their nations military, there is a chance that they may have attended training in the U.S.  This is in fact the case with King [[Abdullah II]] of [[Jordan]].  Another thing to be looked at is countries that we may have obligations (under treaties) to defend, such is the case with [[Japan]] and the [[Republic of Korea]] (South Korea).  If they purchase our technology (and the training to use it), it may partially relieve our responsibilities.  However, this article surely needs to be expanded.  Foreign Military Sales (FMS) is extremely important.  There should be separate articles for FMS, IMET, DCS, DISAM, International Military Student Officer (IMSO) (my job), Naval Education and Training Security Assistance Field Activity (NETSAFA), U.S. Army Security Assistance Training Field Activity (SATFA), Air Force Security Assistance Center (AFSAC), Security Assistance Officer (SAO) among others.  I would love to help write these articles, but I'm not an article writer.  I can help with facts, perhaps specific statistics, but I could not do it by myself.--[[User:Asacan|Asacan]] 04:09, 21 November 2005 (UTC)  * ""Let's face it, the world is not a safe place.""  Largely because the American arms industry is behind every war since David Copperfield was a kid. <small>—The preceding [[Wikipedia:Sign your posts on talk pages|unsigned]] comment was added by [[Special:Contributions/201.19.180.233|201.19.180.233]] ([[User talk:201.19.180.233|talk]]) 16:33, 28 March 2007 (UTC).</small><!-- HagermanBot Auto-Unsigned -->  * I have tried to do research on this topic, and I have added several paragraphs. I am, however, quite new to Wikipedia, and therefore apologize for my numerous meaningless edits (I will try to update by doing one big update in the future). If you discover that any of the information is uncertain, or that it is not properly organized, feel free to work over my own edits. I consider this topic to be important, and will therefore do whatever I can to improve this article, more research on this topic will be completed soon. --[[User:M3taphysical|Ludvig]] 06:46, 21 December 2005 (UTC)  ::Information on arms trade is hard to obtain. Not only illegal but also legal military transactions are often taking place in secret. Help improve and bring attention to the article. <span style=""font-size: smaller;"" class=""autosigned"">—Preceding [[Wikipedia:Signatures|unsigned]] comment added by [[User:M3taphysical|M3taphysical]] ([[User talk:M3taphysical|talk]] • [[Special:Contributions/M3taphysical|contribs]]) 06:57, 21 December 2005 </span><!-- Template:Unsigned2 -->  ''Information wanted'': Need some info on the weapons industry of '''France''', '''Britain''' and '''Russia'''.<span style=""font-size: smaller;"" class=""autosigned"">—Preceding [[Wikipedia:Signatures|unsigned]] comment added by [[User:M3taphysical|M3taphysical]] ([[User talk:M3taphysical|talk]] • [[Special:Contributions/M3taphysical|contribs]]) 17:48, 22 December 2005 </span><!-- Template:Unsigned2 -->   Please add methods of terrorits groups like LRA (Lords Resistance Army)obtaining weapons.  <span style=""font-size: smaller;"" class=""autosigned"">—Preceding [[Wikipedia:Signatures|unsigned]] comment added by [[Special:Contributions/68.184.243.228|68.184.243.228]] ([[User talk:68.184.243.228|talk]]) 23:13, 13 March 2009 (UTC)</span><!-- Template:UnsignedIP --> <!--Autosigned by SineBot-->"
Talk:Arms industry,Contradiction (since removed),"<blockquote> The values in the Top Arms Exporters table seems to be completely wrong.  The total of the top arms exporters for 2006 is $1.2Billion, whereas the article also states ""From 1989 to 1996, the global value of direct commercial arms sales was US$257 billion, of which 45% was exported from the US"".  ($257/8 years = $32B/year, so unless the arms trade dropped by a factor of 25 in the next decade, those numbers are incorrect.)  The cited sources also give different values.  I added the contradiction flag at the top of the article, and added a sentence above the table telling people to go to the sources instead.  I don't know what the Wiki-appropriate edit should have been, but I assume that this article is sufficiently watched that someone will be aroudn shortly to clean it up.  Thank you. [[User:DMPalmer|DMPalmer]] </blockquote>  The 'Top Arms Exporters' table is now gone, so I removed the contradiction flag.  I clarified that the table that replaced it excludes China (see the cited references.)  An accurate and complete breakdown of arms traffic (NPOV, of course) would be a useful addition to this page.  [[User:DMPalmer|DMPalmer]] 04:01, 22 April 2007 (UTC)  ""World's largest arms exporters"" seems to be missing countries? For what I know, Turkey should be in that list, as according to sectoral information from 2008, its exports exceeded 500 million dollars !?! Claricication please.  <small><span class=""autosigned"">— Preceding [[Wikipedia:Signatures|unsigned]] comment added by [[User:Evrenikoruyan|Evrenikoruyan]] ([[User talk:Evrenikoruyan|talk]] • [[Special:Contributions/Evrenikoruyan|contribs]]) 15:36, 6 January 2011 (UTC)</span></small><!-- Template:Unsigned --> <!--Autosigned by SineBot-->"
Talk:Arms industry,Invalid criticism of the United States,"A large part of this piece seems to be an attempt to slander the United States and does not objectively look at arms sales worldwide. No mention is made of other major arms exporters in the same light... small arms exports are mentioned, but based on the article one would think that the United States is the primary supplier of small arms, when in fact it is Russia (whose AK-47 is the most widely produced assault weapon). I recommend that arms sales specifically related to the United States be moved to a new article titled, ""Arms Sales of the United States,"" and then that article broken down into sections where criticisms such as the ones that exist in this article can be put into proper context. :: Let's get it straight and speak only the truth.  What make people hate the States?  Here is an example.  Tell me what is wrong with this: [http://nobelprize.org/nobel_prizes/literature/laureates/2005/pinter-lecture-e.html Harold Pinter The Nobel Prize in Literature 2005]  And then there's this: ""The United States is by far the largest exporter of weapons in the world, with a sales volume that exceeds the next 14 countries combined. Military sales equate to about 18 percent of the Federal budget, far and away the greatest proportion of any nation."" This is ridiculous! 18% of the $2.2 trillion federal budget (FY 2006) is $396 billion, yet according to SIPRI total arms sales worldwide totalled a maximum of $53 billion for 2004, with the United States making up approx. half of that.  ""According to the 2005 annual US congress reports, 58% of all US arms trade contracts are made with developing countries."" This is especially misleading, because nowhere in the article does it cite that Russia is the largest exporter of arms to the developing world. (Source: CDI, ""U.S. Arms Still Dominate International Market, Russia Leader to Developing World"" Nov 15, 2006)  In summary, it seems that the intention of this article is to slander the United States by misleading the reader by using an extremely selective use of sources and ""facts"" that do not hold up to any kind of scrutiny. I recommend the United States be removed from this article entirely and be given its own entry. <small>—The preceding [[Wikipedia:Sign your posts on talk pages|unsigned]] comment was added by [[Special:Contributions/215.65.50.34|215.65.50.34]] ([[User talk:215.65.50.34|talk]]) 08:46, 19 February 2007 (UTC).</small><!-- HagermanBot Auto-Unsigned --> ::In fact the world won't be save while people like you still live.  You're not happy with what you named ""extremely selective use of sources"", and you make me wonder how in the world there are so many people, mainly in the States, so stupid and brainwashed like you.  It's really disturbing and I can see that more 2 or 3 right-wing administrations like Reagan and Bush, oil and arms industries puppets, will lead your country to civil war.  For as you know, fortunately there are also human beings left in your country that will not stand more of your worldwide misery and lies.  -  This clause seems wholly unsupported: ""Entire nations, to use the parlance of the early 21st century, can go from the ""Coalition of the Willing"" to the ""Axis of Evil"" in very little time, and every change affects policy and the distribution of arms in the world."" [[User:Lostnihilist|Lostnihilist]] 17:06, 15 March 2007 (UTC) :: Are you brainwashed or just plain stupid?  Have a look in the East, mainly Near East, American foreign police in the last 50 years history.  How many times your enemies changed their names, how many times the same former enemies changed to big friends of yours? <small>—The preceding [[Wikipedia:Sign your posts on talk pages|unsigned]] comment was added by [[Special:Contributions/201.19.180.233|201.19.180.233]] ([[User talk:201.19.180.233|talk]]) 16:47, 28 March 2007 (UTC).</small><!-- HagermanBot Auto-Unsigned --> :::There is a better way of describing this process than using terms directed specifically at slandering the US.  That sentence and the following  """"Freedom fighters"" become ""insurgents"". ""Terrorists"" become ""invaluable allies"", and ""religious zealots"" morph into ""agents of stability"". Entire nations, to use the parlance of the early 21st century, can go from the ""Coalition of the Willing"" to the ""Axis of Evil"" in very little time, and every change affects policy and the distribution of arms in the world.""  are very much directed specifically at the US when many other nations have gone through the same process.  Should be put in an objective manner, not like it is, currently. [[User:Daquake|James]] 03:57, 7 April 2007 (UTC)  :Shut up and accept the facts. U.S. = Evil. The cold hard facts, Christ.  -G  ""Of course&mdash;and this is endemic of nearly every debate over arms trade&mdash;the terminology used and the people it refers to can be frustratingly fluid. As years pass, governments decide on new ""interests"" and circumstances change accordingly. ""Freedom fighters"" become ""insurgents"". ""Terrorists"" become ""invaluable allies"", and ""religious zealots"" morph into ""agents of stability"". Entire nations, to use the parlance of the early 21st century, can go from the ""Coalition of the Willing"" to the ""Axis of Evil"" in very little time, and every change affects policy and the distribution of arms in the world.""  I removed that^. It is obviously written by someone with a bias against the US, and anyone that cannot see it is either blind, a fool, or both. ""Coalition of the Willing"" and ""Axis of Evil"" being two terms used by the Bush administration and seem to criticize such beliefs. Also personal opinions are personal opinions, and are discouraged on Wikipedia when it comes to making a case for or against. In addition, they are quotes without any reference.  ""Entire nations, to use the parlance of the early 21st century, can go from the ""Coalition of the Willing"" to the ""Axis of Evil"" in very little time,"" has no source to back it up. Who says that it can go from one to the other in very little time. Let's be honest here. This is a slam against the USA and if we take it as that, it is factually incorrect on account that the ""Axis of Evil"" included North Korea and the United State's relations with North Korea have pretty clear since the Korean War. When were they ever part of the ""Coalition of the Willing""?  [[User:HeronMark|HeronMark]] ([[User talk:HeronMark|talk]]) 01:13, 19 September 2009 (UTC)"
Talk:Arms industry,Statistical support,"The volume of transactions for specific contries can vary a lot from year to year and comments about the volume for a single year could be misleading and become irrelevent in the future.  Many statistical figures originally contained in this article come from this annual CRS report to Congress: [http://www.fas.org/sgp/crs/natsec/RL33051.pdf Conventional Arms Transfers to Developing Nations, 1997-2004] However, other figues originally contained in this article come from the appendices of the [http://yearbook2005.sipri.org/ SIPRI Yearbook 2005] which are producing quite a different picture even considering that they are stated in 1990 dollars. --[[User:Astator|Astator]] 04:39, 16 April 2006 (UTC)  == POV == I've tried to NPOV this article a bit, removing weasel phrases such as ''There are often allegations of political corruption in regard to large arms contracts.'' I'm sure there are, but without further context or citations (of wide spread practice, not individual incidents), it is IMO a pov statement.  Also removed the bit about how many people get killed by guns, which doesn't belong in the article, as well as the misunderstanding of both irony and the role of the Security Council.  An account of the oposition to arm trade aught to be in the article, but the article should not be an outlet for their ideas. --[[User:BadSeed|BadSeed]] 10:26, 23 January 2006 (UTC)  I've restored the deaths figure as I think that is relevant under a section on ""global impact"" though I agree the article does need work - might be better to have a separate section on opposition.--[[User:Muttgirl|Muttgirl]]  I like the list of outside websites.  Nah, there's no POV problem with this page. 2-9-2007"
Talk:Arms industry,Major Weapon manufacturers,"Is it really necessary to have a list of the major weapon manufacturing companies in the world, considering there's already an article for that (See: [[List of modern armament manufacturers]])? At least, I'd try to shorten it, clarify it, maybe put it into some table. I've made some research and it seems most of sources I stumble upon are very subjective and unreliable. This article will be hard to complete. --[[User:M3taphysical|Ludvig]] 03:03, 10 February 2006 (UTC)  hallo dear all! in the age of transnationalism, it is completely irresponsible to just issue country listings about arm trade. everybody knows that trade does not only exist between countries but also between TNC's in collboration with governments. so where are all the banks, industries and backchich people earning money with protection and fear of protection? ABN-AMRO  I deleted L-3 Communications from the list as they are not weapon manufacturers."
Talk:Arms industry,Largest Weapons Exporters,"I created a table for the data listed here.  I don't know how to right justify the figures, so if somebody could do that I would appreciate it.  Also, if the original author (or somebody) could clarify what they mean by ""current US dollars"" and ""1990 US dollars"", that would really help the understandability of the article. [[User:Tabun1015|Tabun1015]] 02:55, 6 June 2006 (UTC)  The Carlyle Group is a private equity company and does not manufacture arms.  Can someone please cite the original source for this table and give units to the numbers on the table?  ""US (1990-2006): 45438"" is an impressive number, and much bigger than any other number on the table, yet I'm forced to ask myself, ""45438 of what?"" [[User:MyOwnLittlWorld|MyOwnLittlWorld]] ([[User talk:MyOwnLittlWorld|talk]]) 19:48, 23 November 2007 (UTC)  ----  Israel is listed last (16th) in rank as a major arms exporter in this article:  Israel is listed here as 16th in rank (not fourth largest) re arms exporters globally representing a fatal flaw in the article; there is no update to information about Israel's arms increased exports since publication of the article even though Israeli authors - including the Israeli Minister of Defense - claim Israel to be the world's fourth largest arms exporter.{{cite web | author = Yossi Melman Haaretz Correspondent | url = http://www.haaretz.com/hasen/spages/932656.html | title = Israel now world's fourth largest weapons exporter  | publisher = Ha'aretz Daily | date = 9/12/2007}}I have only cited one Israeli reference however there are many more.  The contention seems to be that Israel publishes no ""official"" figures about its arms exports. What a surprise. Well ""official"" figures from any source with a vested interest/agenda are suspect, even when the source is verified.  I suggest that such articles as the Ha'aretz article cited above are the best sources for verification that Israel is indeed a very major worldwide arms exporter.  We can also look at the publicly published export figures for the huge multi-national Rafael, one of Israel's (and the world's) largest weapons manufacturers, to get some inkling that Israel should be bumped way up in the Wiki list of world's largest arms exporters, even if ""official"" Israeli sources (the mossad or Shin Bet perhaps?) are not prepared to admit same.  In conclusion, the article is fatally flawed and should be removed from the Wiki and moved to sourcewatch as a more speculative work."
Talk:Arms industry,Lacking in history,"This article could use a ""history"" section, if anyone's willing to do the research to write it. [[User:Isomorphic|Isomorphic]] 01:40, 23 September 2006 (UTC)"
Talk:Arms industry,Volume ~ types of weapons ~ trade flows,"Does anyone have figures for amrs in terms of ''volume'' or ''types'' of arms? '''1)''' The currency figure are a little misleading since American and Western-European defence products are generally more expensive. '''2)''' Those dollar figures largely represent 'high-end' hardware (eg. aircraft) rather than small arms, where most of the carnage is concentrated. '''3)''' All the 'high-end' products are likely to be bought by larger/richer nations (it'd be interesting to see the trade flow - my bet is cross-Atlantic). [[User:Htra0497|Htra0497]] 03:57, 24 October 2006 (AET)"
