title,subtopic,count
Talk:Agricultural machinery industry,External links modified,1
Talk:Arms industry,External links modified,2
Talk:Arms industry,Iceland Place 10??,2
Talk:Arms industry,AK-47 and Other Misunderstandings,1
Talk:Arms industry,Article expansion,1
Talk:Arms industry,Contradiction (since removed),1
Talk:Arms industry,Defense budget error,1
Talk:Arms industry,Definition and terminology section needed,1
Talk:Arms industry,Dwight Eisenhower would kick some asses around here,1
Talk:Arms industry,Edit warring,1
Talk:Arms industry,Error in total sales for Northrop Grumman,1
Talk:Automotive industry,"""[[:Automotive strategy consultant]]""",1
Talk:Automotive industry,"""[[:Forschungsgemeinschaft Automobil-Technik]]""",1
Talk:Automotive industry,"""[[:List of assets owned by major automobile corporations]]""",1
Talk:Automotive industry,"""[[:Top 20 motor vehicle producing companies in 2007]]""",1
Talk:Automotive industry,"""[[:World's largest automakers]]""",1
Talk:Automotive industry,2017 data,1
Talk:Automotive industry,A Commons file used on this page or its Wikidata item has been nominated for deletion,1
Talk:Automotive industry,Borders in table,1
Talk:Banana industry,External links modified,1
Talk:Banana industry,Total production claim,1
Talk:Banana industry,Wiki Education Foundation-supported course assignment,1
Talk:Bicycle industry,External links modified,1
Talk:Bicycle industry,Question,1
Talk:Chemical industry,Adding industrial overview,1
Talk:Chemical industry,Chemical industry,1
Talk:Chemical industry,history,1
Talk:Clothing industry,Economic statistics,1
Talk:Clothing industry,Migrant workers,1
Talk:Clothing industry,Wiki Education Foundation-supported course assignment,1
Talk:Clothing industry,Workers in the Clothing industries,1
Talk:Construction,"""Bridgit (software)""",1
Talk:Construction,A Commons file used on this page or its Wikidata item has been nominated for deletion,1
Talk:Construction,Addition of builder,1
Talk:Construction,Inclusion of Recent Developments,1
Talk:Construction,Undue prominence on safety,1
Talk:Consumer electronics,Brown goods,1
Talk:Consumer electronics,History of consumption,1
Talk:Consumer electronics,"In this context, ""consumer"" is meaningless",1
Talk:Consumer electronics,Internal links,1
Talk:Consumer electronics,Less individual products?,1
Talk:Consumer electronics,Lists of consumer electronics?,1
Talk:Consumer electronics,Merge timeline,1
Talk:Consumer electronics,Merge with  Electronics industry,1
Talk:Consumer electronics,Source dump,1
Talk:Consumer electronics,Start of history,1
Talk:Cosmetic industry,Wiki Education Foundation-supported course assignment,2
Talk:Cosmetic industry,Canada cosmetics import/export statistics,1
Talk:Cosmetic industry,External links modified,1
Talk:Cosmetic industry,Incorrect claim about US imports/exports,1
