title,subtopic,relevant_content
Talk:Automotive industry,Borders in table,"The table with automobile groups and its brands in http://en.wikipedia.org/wiki/Automotive_industry#Top_vehicle_manufacturing_groups_by_volume is terrible without the borders (they are not seen at least in firefox). Could someone add the borders?  Also the table is too narrow and too high.
"
Talk:Automotive industry,A Commons file used on this page or its Wikidata item has been nominated for deletion,"The following Wikimedia Commons file used on this page or its Wikidata item has been nominated for deletion:
* [[commons:File:Vintage Pontiac Promotion.svg|Vintage Pontiac Promotion.svg]]<!-- COMMONSBOT: discussion | 2023-03-15T22:25:04.127807 | Vintage Pontiac Promotion.svg -->
Participate in the deletion discussion at the [[commons:Commons:Deletion requests/Files uploaded by Iamthevilla|nomination page]]. —[[User:Community Tech bot|Community Tech bot]] ([[User talk:Community Tech bot|talk]]) 22:25, 15 March 2023 (UTC)
"
Talk:Automotive industry,2017 data,"
212.100.101.104 and I have a disagreement about how OICA groups companies. Since this disagreement is essentially the same one that we have at [[Talk:List_of_manufacturers_by_motor_vehicle_production#2006_data_(again)]], I suggest that we discuss the 2006 data there first instead of duplicating our efforts. <span style=""border:1px solid blue;border-radius:4px;color:blue;box-shadow: 3px 3px 4px grey;"">[[User:Stepho-wrs|'''&nbsp;Stepho&nbsp;''']]&nbsp;<span style=""font-size:xx-small; vertical-align:top"">[[User Talk:Stepho-wrs|talk]]&nbsp;</span></span> 04:50, 4 November 2023 (UTC)"
Talk:Automotive industry,"""[[:World's largest automakers]]"" listed at [[Wikipedia:Redirects for discussion|Redirects for discussion]]","[[File:Information.svg|30px]]
The redirect <span class=""plainlinks"">[//en.wikipedia.org/w/index.php?title=World%27s_largest_automakers&redirect=no World's largest automakers]</span> has been listed at [[Wikipedia:Redirects for discussion|redirects for discussion]] to determine whether its use and function meets the [[Wikipedia:Redirect|redirect guidelines]]. Readers of this page are welcome to comment on this redirect at '''{{slink|Wikipedia:Redirects for discussion/Log/2023 November 29#World's largest automakers}}''' until a consensus is reached. <!-- Template:RFDNote --> [[User:Steel1943|<span style=""color: #3F00FF;"">'''''Steel1943'''''</span>]] ([[User talk:Steel1943|talk]]) 20:44, 29 November 2023 (UTC)"
Talk:Automotive industry,"""[[:List of assets owned by major automobile corporations]]"" listed at [[Wikipedia:Redirects for discussion|Redirects for discussion]]","[[File:Information.svg|30px]]
The redirect <span class=""plainlinks"">[//en.wikipedia.org/w/index.php?title=List_of_assets_owned_by_major_automobile_corporations&redirect=no List of assets owned by major automobile corporations]</span> has been listed at [[Wikipedia:Redirects for discussion|redirects for discussion]] to determine whether its use and function meets the [[Wikipedia:Redirect|redirect guidelines]]. Readers of this page are welcome to comment on this redirect at '''{{slink|Wikipedia:Redirects for discussion/Log/2023 November 30#List of assets owned by major automobile corporations}}''' until a consensus is reached. <!-- Template:RFDNote --> [[User:Steel1943|<span style=""color: #3F00FF;"">'''''Steel1943'''''</span>]] ([[User talk:Steel1943|talk]]) 20:45, 30 November 2023 (UTC)"
Talk:Automotive industry,"""[[:Top 20 motor vehicle producing companies in 2007]]"" listed at [[Wikipedia:Redirects for discussion|Redirects for discussion]]","[[File:Information.svg|30px]]
The redirect <span class=""plainlinks"">[//en.wikipedia.org/w/index.php?title=Top_20_motor_vehicle_producing_companies_in_2007&redirect=no Top 20 motor vehicle producing companies in 2007]</span> has been listed at [[Wikipedia:Redirects for discussion|redirects for discussion]] to determine whether its use and function meets the [[Wikipedia:Redirect|redirect guidelines]]. Readers of this page are welcome to comment on this redirect at '''{{slink|Wikipedia:Redirects for discussion/Log/2023 November 30#Top 20 motor vehicle producing companies in 2007}}''' until a consensus is reached. <!-- Template:RFDNote --> [[User:Steel1943|<span style=""color: #3F00FF;"">'''''Steel1943'''''</span>]] ([[User talk:Steel1943|talk]]) 20:49, 30 November 2023 (UTC)"
Talk:Automotive industry,"""[[:Automotive strategy consultant]]"" listed at [[Wikipedia:Redirects for discussion|Redirects for discussion]]","[[File:Information.svg|30px]]
The redirect <span class=""plainlinks"">[//en.wikipedia.org/w/index.php?title=Automotive_strategy_consultant&redirect=no Automotive strategy consultant]</span> has been listed at [[Wikipedia:Redirects for discussion|redirects for discussion]] to determine whether its use and function meets the [[Wikipedia:Redirect|redirect guidelines]]. Readers of this page are welcome to comment on this redirect at '''{{slink|Wikipedia:Redirects for discussion/Log/2023 December 3#Automotive strategy consultant}}''' until a consensus is reached. <!-- Template:RFDNote --> [[User:Steel1943|<span style=""color: #3F00FF;"">'''''Steel1943'''''</span>]] ([[User talk:Steel1943|talk]]) 21:57, 3 December 2023 (UTC)"
Talk:Automotive industry,"""[[:Forschungsgemeinschaft Automobil-Technik]]"" listed at [[Wikipedia:Redirects for discussion|Redirects for discussion]]","[[File:Information.svg|30px]]
The redirect <span class=""plainlinks"">[//en.wikipedia.org/w/index.php?title=Forschungsgemeinschaft_Automobil-Technik&redirect=no Forschungsgemeinschaft Automobil-Technik]</span> has been listed at [[Wikipedia:Redirects for discussion|redirects for discussion]] to determine whether its use and function meets the [[Wikipedia:Redirect|redirect guidelines]]. Readers of this page are welcome to comment on this redirect at '''{{slink|Wikipedia:Redirects for discussion/Log/2023 December 3#Forschungsgemeinschaft Automobil-Technik}}''' until a consensus is reached. <!-- Template:RFDNote --> [[User:Steel1943|<span style=""color: #3F00FF;"">'''''Steel1943'''''</span>]] ([[User talk:Steel1943|talk]]) 22:01, 3 December 2023 (UTC)"
Talk:Chemical industry,Adding industrial overview,"I have taken a business history approach and added an introduction about the current state of the industry, some history from Chandler, and a short bibliography. [[User:Rjensen|Rjensen]] 20:46, 22 January 2007 (UTC)

Very good introduction. I note that US chemical trade balance is negative from 2002 -2005 according to the C&EN article (7-10-06)(also www.cen-online.org).  Many of the produts have positive balances with most of the deficits being in ""medicinals & pharmaceuticals"". [[User:Oldsci|Oldsci]] 04:56, 23 January 2007 (UTC)

This entire page seems to be missing citations [[User:RichardFry|RichardFry]] ([[User talk:RichardFry|talk]]) 17:20, 24 May 2010 (UTC)

I have added a table to this page (Global Chemical Shipments by Country/Region in billions of dollars) as well as some other media and a 'See Also' section.  I hope this opens up more discussion as well as added contributions to increase its rating among the WikiProject Chemistry group. [[User:JBarrows-NJITWILL|JBarrows-NJITWILL]] ([[User talk:JBarrows-NJITWILL|talk]]) 04:32, 29 June 2010 (UTC)
"
Talk:Chemical industry,history,"This section is woefully inadequate.  It ought to go into the industrial revolution that started with Priestley and went through the Victorian period.
[[Special:Contributions/108.45.122.74|108.45.122.74]] ([[User talk:108.45.122.74|talk]]) 13:27, 18 October 2012 (UTC)
"
