title,subtopic,count
Talk:Automotive industry,"""[[:Automotive strategy consultant]]""",2
Talk:Automotive industry,"""[[:Forschungsgemeinschaft Automobil-Technik]]""",2
Talk:Automotive industry,"""[[:List of assets owned by major automobile corporations]]""",2
Talk:Automotive industry,"""[[:Top 20 motor vehicle producing companies in 2007]]""",2
Talk:Automotive industry,"""[[:World's largest automakers]]""",2
Talk:Automotive industry,A Commons file used on this page or its Wikidata item has been nominated for deletion,2
Talk:Automotive industry,2017 data,1
Talk:Automotive industry,Borders in table,1
Talk:Chemical industry,Adding industrial overview,4
Talk:Chemical industry,Chemical industry,1
Talk:Chemical industry,history,1
Talk:Construction,Undue prominence on safety,4
Talk:Construction,Inclusion of Recent Developments,3
Talk:Construction,"""Bridgit (software)""",2
Talk:Construction,A Commons file used on this page or its Wikidata item has been nominated for deletion,2
Talk:Construction,Addition of builder,2
Talk:Consumer electronics,Merge timeline,19
Talk:Consumer electronics,Internal links,6
Talk:Consumer electronics,Merge with  Electronics industry,4
Talk:Consumer electronics,Brown goods,3
Talk:Consumer electronics,Lists of consumer electronics?,2
Talk:Consumer electronics,Translation efforts,2
Talk:Consumer electronics,Wiki Education assignment: HIST 463 Consumerism in Modern America,2
Talk:Consumer electronics,ever falling prices?,2
Talk:Consumer electronics,History of consumption,1
Talk:Consumer electronics,"In this context, ""consumer"" is meaningless",1
Talk:Electricity generation,Fuel cells,11
Talk:Electricity generation,Requested move 11 January 2017,8
Talk:Electricity generation,Merger proposal,5
Talk:Electricity generation,Orbiting Solar Panels,4
Talk:Electricity generation,Producers,4
Talk:Electricity generation,energy production,3
Talk:Electricity generation,Co-generation,2
Talk:Electricity generation,Reference in caption,2
Talk:Electricity generation,Tesla's Methods,2
Talk:Electricity generation,method efficiency,2
Talk:Hospitality industry,Hospitality Schools,2
Talk:Hospitality industry,Assessment comment,1
Talk:Hospitality industry,Hotel management,1
Talk:Hospitality industry,Notes,1
Talk:Hospitality industry,Underrepresentation,1
Talk:Hospitality industry,What's economic of Hospitality industry,1
Talk:Meat-packing industry,"Move to ""Meatpacking industry""",2
Talk:Petroleum industry,Ivan Mirzoev,2
Talk:Petroleum industry,Wiki Education Foundation-supported course assignment,2
Talk:Petroleum industry,No Mention of Standard Oil?,1
Talk:Petroleum industry,"Oil firms knew decades ago fossil fuels posed grave health risks, files reveal",1
Talk:Power engineering,Article is lacking in specifics; too generalized,6
Talk:Power engineering,"""History"" Section",3
Talk:Power engineering,Comments,3
Talk:Power engineering,"""Areas of Study""",2
Talk:Power engineering,External links modified (January 2018),2
Talk:Power engineering,Title of the Article,2
Talk:Power engineering,I made some correction,1
Talk:Pulp and paper industry,Is this article worthy of stub status?,2
Talk:Pulp and paper industry,AQ and Xylanase usage,1
Talk:Pulp and paper industry,"Asia Pulp & Paper...Chinese, Indonesian, or Singaporean?",1
Talk:Pulp and paper industry,Instruments used,1
Talk:Pulp and paper industry,Intro a little silly,1
Talk:Pulp and paper industry,List of net sale 2007 - jk?,1
Talk:Pulp and paper industry,Luffa fibers,1
Talk:Pulp and paper industry,Needs update!,1
Talk:Pulp and paper industry,New book that may be of interest for this article:,1
Talk:Pulp and paper industry,Picture on the right,1
